Payment Execution Date,Payment Modification Date and Time,Payment Creation Date and Time,Payment Authorisation Date and Time,Payment File Format/Channel,Ordering Bank (Swift Code or Local Bank Code),Ordering Account Number,Client Entity Name,Beneficiary Account Number,Beneficiary Name,Beneficiary Address,Beneficiary Bank (Swift Code or Local Bank Code),Beneficiary Country,Instruction/Payment Type,Payment Amount,Payment Currency,Remittance Advice,Connexis User ID (Maker),Connexis User ID (Authoriser),User Country Geo-Location,User last successful login date/time
1984-12-04 13:55:05,2004-08-29 16:04:19,2003-11-15 14:57:22,1999-09-23 07:34:01,txt,GB80ZAJG14302093906478,4174010722444,Justin Bryant,4740046013858930726,Joseph Lee,"013 Adriana Manors Apt. 366
New Justin, IL 48374",GB04ICYP69516287319647,Antigua and Barbuda,,821.8429497887149,"('PGK', 'Papua New Guinean kina')",,cynthiasanders,kevin47,Somalia,2007-07-20 17:57:40
1975-11-11 12:17:50,2010-03-05 13:41:05,1979-06-02 03:16:35,2014-01-12 05:46:54,pdf,GB03NQUB90550894707946,3564694950242596,Autumn Hughes,6011554567771076,Brett Harris,"387 Vargas Prairie Apt. 312
New Jenniferfurt, NM 13111",GB64HOUU05045809571092,Lithuania,,8936.688761677655,"('KGS', 'Kyrgyzstani som')",,janicegriffith,zachary22,Cuba,1992-06-16 14:03:12
2010-06-29 13:33:04,2004-08-02 08:44:50,2000-01-27 04:41:17,1975-10-14 17:14:19,mp4,GB23MHIK13013208131467,4995899929167,Jeremiah Dalton,3598154897000201,Lisa Morgan,"88389 Schroeder Centers Apt. 194
East Mark, WA 84034",GB22CMHX06715071563053,Portugal,,7019.563001917358,"('HRK', 'Croatian kuna')",,jonathanparker,dshelton,Tajikistan,1995-04-28 15:23:36
1972-01-14 17:14:05,1978-10-17 03:47:44,1992-08-04 12:02:10,1971-02-09 21:16:48,css,GB39TIGO72487731676491,30429870710444,Daniel Allen,377407276147784,Cindy Jones,"7297 Rogers Corner Apt. 179
Shellyport, NE 85409",GB08NYAO82449419020716,Turks and Caicos Islands,,2600.826510617006,"('EUR', 'Euro')",,rchase,joshua28,French Guiana,1971-05-22 05:31:37
2011-07-16 02:51:32,1978-11-15 01:10:24,2002-09-28 13:43:30,1992-03-29 23:55:59,doc,GB19MCLM23142538049414,2227679974662730,Stacey Mcdonald,676151580906,Paula Price,"80351 Patricia Course Suite 067
West Tracy, FL 24777",GB87YKUE30592390757076,Reunion,,8372.141152173766,"('TOP', 'Tongan paʻanga')",,ulamb,millerbarbara,Greece,1998-11-24 02:51:57
2019-12-06 05:29:07,1974-07-05 10:41:00,1988-12-12 20:33:11,1999-07-07 18:13:37,odt,GB94QUMC91051251959770,4068808603050722,Laura Bautista,630424904724,Hayley Downs,"2592 Angela Pines
East Lindseybury, AL 94781",GB34NSRS94110348043126,Iraq,,236.14714068291534,"('RWF', 'Rwandan franc')",,brianna82,christina46,Italy,1980-12-13 10:12:12
1990-07-23 00:34:03,1987-08-21 12:36:39,1995-10-15 14:49:46,1979-07-06 09:20:07,txt,GB80FLSJ83478005534852,3518082979496996,Veronica Torres,676236649577,Amy Mayo,"88591 Scott Mountains
Olsonside, VT 36246",GB35NPBF87987252459045,Cook Islands,,12301.302375923355,"('PAB', 'Panamanian balboa')",,billy05,kenneth44,Paraguay,2001-12-04 11:25:26
2015-04-12 14:42:23,1986-04-26 05:52:07,1977-03-16 04:30:22,1994-04-22 13:28:26,ppt,GB79SYCR23094775978775,2224747735024574,Blake Howell,213134629550930,Jodi Carter,"46706 Scott Knoll Apt. 751
Hickshaven, ME 19819",GB35XOYX99755516530001,Djibouti,,12568.532151260984,"('IMP', 'Manx pound')",,daniel02,elliottbrian,Netherlands Antilles,2015-12-17 18:18:04
1978-08-20 00:18:39,1999-08-25 02:46:56,2019-05-15 04:28:30,1974-08-13 09:49:36,mp3,GB96FNEY37222703053160,180043348374960,Victoria Davis,4473186617945,Travis Garza MD,"60592 Sheena Knoll Suite 454
Port Patriciashire, NM 94504",GB35JMEZ86311969965754,Kenya,,5648.861192114428,"('PKR', 'Pakistani rupee')",,maryjohnson,nicholas12,Comoros,1980-12-01 10:18:41
1994-02-17 00:05:30,1973-02-13 22:42:17,2010-04-02 17:20:31,2010-02-04 23:02:59,wav,GB23TXGH51682889747546,38124765560226,Paige Dalton,5245326169322347,Wendy Heath,"244 Dillon Expressway
East Ryan, VA 89364",GB07NRBM95397613231554,Iraq,,397.3366240079723,"('SBD', 'Solomon Islands dollar')",,joshuamartinez,philipjimenez,Equatorial Guinea,1986-07-06 15:08:26
1997-06-19 11:59:02,2005-06-21 15:13:42,1984-04-02 23:50:07,2007-08-25 13:50:57,json,GB80FKCG03127288623537,574040036638,Barbara Webb,4575297935919836,Nathan Powers,"9694 Russell Harbor Suite 855
Rachelchester, MS 95259",GB75MJUJ20420379617488,Cyprus,,9630.408842579875,"('TOP', 'Tongan paʻanga')",,pughdavid,jeff15,Angola,2010-01-17 21:29:00
2002-07-28 00:47:58,1978-06-12 12:37:54,1981-01-25 20:09:09,2016-09-22 22:24:45,tiff,GB14DRPH91789914270731,3531716371307060,Duane Francis,180085303171030,Chad Espinoza,"090 Ramirez Mall Suite 514
Jonesmouth, FL 31101",GB85ZOGI69359956972681,Somalia,,1300.1341610211318,"('EUR', 'Euro')",,uabbott,vowens,Spain,1991-08-16 13:31:34
1994-02-23 23:09:58,1997-10-13 22:54:53,2001-12-31 08:55:42,2004-05-15 03:01:05,flac,GB81SDKV84043370528963,2656824560059327,Phillip Ford,4280351297839250,Joe Tran,"9294 Anthony Stream Suite 627
West Shelly, TN 97847",GB77TOYJ56978516744164,Slovenia,,3509.7818998959815,"('NZD', 'New Zealand dollar')",,melanie68,adkinsjoel,Cuba,2009-09-02 08:48:32
1999-11-10 11:13:20,1975-01-21 11:41:59,1974-11-27 02:09:29,2017-08-25 17:06:20,ppt,GB44WGDB56335769118995,213145618720417,Jeffery King,4285481650363377,Carl Dickson,"857 Olson Gardens
Robinsonstad, SD 03141",GB60YFWG12607249446918,Vietnam,,10845.169283410552,"('VUV', 'Vanuatu vatu')",,maria64,dsmith,Solomon Islands,1993-12-21 23:36:43
1995-07-11 01:34:29,1983-09-11 23:15:02,1973-02-02 20:25:42,1990-12-31 03:55:14,mov,GB24CFIR52936656075112,4529511578521387,David Lucero,4731269381380178,Susan Fields,"74871 Joseph Points Apt. 032
Aprilfort, ID 30079",GB51ZOFH06166515648252,French Southern Territories,,10227.882790308751,"('BOB', 'Bolivian boliviano')",,omar67,cartergina,Northern Mariana Islands,1997-03-06 12:42:18
2011-09-05 05:09:20,1977-10-11 11:20:38,2003-03-07 00:32:21,2004-04-15 09:46:23,avi,GB70XOIO07734392216977,347747424599387,James Mueller,213158234385044,Nicole Scott,"232 Michael Unions Suite 069
South Travis, AZ 67094",GB43VBWR91355670573939,Netherlands,,7117.046528428913,"('LTL', 'Lithuanian litas')",,april11,annewilson,Singapore,2006-12-23 23:36:55
1998-10-27 16:28:40,1987-04-05 20:56:33,1985-07-15 19:35:52,1989-02-14 04:43:29,bmp,GB90BZOL98027557800969,6587032879694256,William Gonzalez,6516219475359154,Cynthia Cooley,"90906 Patricia Highway Apt. 226
New Laura, CA 28619",GB83FCTO80499499568609,Panama,,6042.962743646812,"('BRL', 'Brazilian real')",,jodi05,mbrown,Tonga,1996-06-16 02:25:05
1977-02-21 21:23:31,1976-07-09 15:33:53,2015-10-01 15:33:02,1979-04-18 15:58:01,avi,GB81KPYW23933027426383,3558807550652497,Joseph Graham,378011229328332,Katherine Perry,"8948 Rodriguez Villages
Port Timothyburgh, NM 87449",GB66BRMP33868100552049,Armenia,,10292.726855788716,"('BGN', 'Bulgarian lev')",,andrewthompson,michaelobrien,Palestinian Territory,2011-01-19 16:38:55
1999-04-30 13:16:37,1992-01-20 18:48:57,2005-03-26 23:02:27,2005-03-11 17:01:14,gif,GB53XIXR09370283258913,4315804022828,Michele Erickson,4828836000086206,Amy Glover,"1430 Samuel Fields
East Elizabethburgh, AR 44517",GB42FCQW50787818808187,Liberia,,4839.173043692737,"('FJD', 'Fijian dollar')",,danielbridges,xoconnell,Malawi,1984-02-13 14:30:40
1989-11-11 02:55:53,2005-04-19 03:45:06,2012-05-03 12:59:50,1973-11-28 08:07:54,odp,GB60BAXI27027834221771,6011116603276906,Lisa Mckenzie,30231620154810,Jenna Rivera,"2808 Bush Green
South William, NH 24699",GB24CTIZ54180722991701,Aruba,,2263.1805812288703,"('CDF', 'Congolese franc')",,ndeleon,john75,Solomon Islands,2009-01-25 05:34:04
1983-05-17 14:52:08,1993-08-02 02:41:45,2012-07-11 13:24:29,1976-11-12 15:32:14,png,GB62HFPP69167750029175,561109370818,Stacy Jones,30146108366233,Sara Galvan,"7468 Justin Lodge
Lake Katherinestad, WI 92723",GB73HEQJ40073459796194,Burundi,,643.735472346329,"('QAR', 'Qatari riyal')",,andrew89,vjohnson,Mexico,2009-11-03 09:13:15
1989-01-03 10:06:56,2007-11-17 17:21:56,2005-08-29 14:34:38,2016-09-22 19:50:06,png,GB13TBZL31044580647118,4051445996233,Clayton Mercer,676273432853,Brandi Wright,"9894 Williams Pine
North Melissabury, MS 52151",GB49EJBP37729492265202,Spain,,10507.74278596094,"('ISK', 'Icelandic króna')",,amandasnyder,jessica30,Malawi,1991-01-29 17:34:57
1975-03-13 21:52:14,2001-06-17 14:56:51,1970-12-21 19:32:55,1972-04-08 12:06:26,jpeg,GB74EEXY39285059985242,4296763120912,Jean Ross,213195980375217,Kristy Bell,"83866 Caitlin Mountains Suite 072
Gardnerberg, VA 03292",GB26OEAH40601780846959,Kenya,,4572.050126890945,"('ZMW', 'Zambian kwacha')",,griffinwilliam,wkelley,Nepal,2004-06-23 08:29:23
1976-12-11 07:16:34,1995-02-24 21:32:06,1971-07-11 05:11:36,1996-12-31 20:07:33,mp4,GB18RITF61032188249915,344163963412573,Johnny Reynolds,30534802658577,Mr. Richard Williams,"859 Williams Light Apt. 290
Houseland, OR 47458",GB53SMFF96838602166324,Israel,,399.9876393060552,"('RWF', 'Rwandan franc')",,mclaughlinwendy,davidfuentes,Belize,1993-04-22 09:18:58
1995-04-10 02:05:22,2000-06-29 04:03:26,2006-12-30 03:39:55,2009-09-07 20:05:39,tiff,GB86DZTR12770003020009,675910492049,Melissa Smith,2262443991872624,Jordan Bullock,"55131 Salazar Overpass Suite 555
Russellborough, SD 16700",GB04PLNE61815266144628,Macao,,8825.224187495876,"('CDF', 'Congolese franc')",,karen09,hcarpenter,Andorra,2013-04-24 19:38:44
1978-07-04 19:12:10,1980-06-17 00:33:26,2004-06-21 23:27:34,2011-04-03 14:36:59,mp4,GB22ABZB29393061295227,213121701471044,David Sampson,4612629275889226,David Anderson,"7494 Morris Inlet Suite 014
North Robertside, PA 63666",GB40OUNV84859173915888,Belgium,,1561.916324721921,"('LKR', 'Sri Lankan rupee')",,robin00,robyn46,United Kingdom,1970-06-05 01:48:10
1992-05-12 08:58:06,2008-03-10 23:06:50,1995-05-29 01:12:27,1998-03-18 10:44:46,avi,GB51LFGZ08455282278667,4150049386115080,Brianna Robinson,30091490736256,Stephanie Fisher,"379 Perez Circles
Woodsfurt, KY 03549",GB30COSR00739721812991,Armenia,,2353.6609720591173,"('RWF', 'Rwandan franc')",,christiananderson,mcbrideemily,Gambia,1977-10-16 12:02:54
2020-07-20 13:52:32,2014-05-01 07:04:22,1992-06-02 06:53:06,1986-05-27 09:37:32,odt,GB03POYR82358568053700,30147055326733,Tyler Hernandez,345834286004193,Duane Reyes,"2976 Anthony Inlet Suite 386
Jasonstad, KS 10799",GB81FEBL38841981834223,Afghanistan,,121.9074937684968,"('KYD', 'Cayman Islands dollar')",,wrightbruce,natalie32,Maldives,1984-05-01 03:11:27
1995-04-21 20:26:40,1999-08-24 22:18:07,2014-08-10 18:45:50,2019-12-18 11:21:34,mp4,GB97MPXI13713618414411,36995283284338,Catherine Carter DVM,3592412966673407,Jason Santos,"152 Johnson Pike
East Tammyport, IA 58754",GB93OJUP54416861551585,French Guiana,,6267.311436117278,"('PLN', 'Polish zloty')",,thompsondylan,matthewwalker,Spain,2002-09-13 05:32:20
1985-11-27 10:15:24,1972-04-15 00:41:58,1985-12-04 19:43:41,1977-09-25 05:48:21,jpg,GB75CKNS43004940568694,4371591889987034024,Cassidy Sherman,38620032986078,Alexis Carr,"704 Maureen Lakes
Port Tristan, ME 87252",GB09ENGP52403902906660,Mozambique,,2680.810424259794,"('ISK', 'Icelandic króna')",,tyler92,rlutz,Mexico,1999-04-09 09:58:16
1993-10-19 05:33:24,1998-12-25 14:50:41,2006-03-14 19:32:10,1992-02-01 19:40:20,js,GB06AJRC22269432929607,3538394627848965,Julie Ward,30143845532573,Amber Dickerson,"33935 Jacqueline Loaf Suite 776
Lake Jeffreyburgh, VA 74870",GB76ULRW26225700721635,British Indian Ocean Territory (Chagos Archipelago),,828.2858330802911,"('KGS', 'Kyrgyzstani som')",,lbell,rosarioterry,Brunei Darussalam,1989-03-12 14:32:34
1976-03-11 03:55:41,2001-04-05 20:49:05,1978-12-04 04:15:04,2009-03-28 20:10:58,webm,GB97VTAP09619524881719,2269790921646624,Victor Herrera,379968674468914,Ronald Jackson,"746 Lambert Haven Suite 986
Maryborough, HI 65149",GB62QNFS96889882250132,Austria,,1289.1661896589515,"('THB', 'Thai baht')",,gbaldwin,wrodriguez,Norfolk Island,2007-09-20 12:48:21
1971-01-12 10:53:27,1984-03-29 17:50:47,2011-08-02 07:41:03,1980-09-24 11:23:35,xls,GB97MFKG20459421683473,4372273062294017,Seth Franklin,6011184860701529,Melissa Carrillo,"6918 Stephen Motorway
North Katiechester, NJ 33335",GB39JMKI52257990791282,Paraguay,,700.7206054792099,"('SHP', 'Saint Helena pound')",,amanda97,csmith,Niue,1971-01-31 23:14:02
2005-03-22 22:37:06,1976-06-22 01:06:18,1988-12-07 09:24:39,1996-08-07 06:25:47,jpg,GB95ZFEN50239607301436,36739706335966,Andrea Murphy,4577164012049184,Lori Burnett,"7190 Cooper Cliffs Suite 640
East Amymouth, NC 40825",GB13RXYJ07000540693482,Cuba,,1187.3365079212756,"('SBD', 'Solomon Islands dollar')",,rachel60,jacobpeterson,Portugal,1989-01-14 13:57:12
2010-08-16 14:43:42,2010-08-04 03:16:32,2006-10-13 17:03:27,2011-10-24 22:25:12,numbers,GB64ADRP42496824944996,374216722868247,Jonathan Wall,6526221551731361,Robert Combs,"30665 Michael Junction Suite 935
Lake Rebeccafurt, ME 17101",GB39IKKI61208872941920,South Africa,,2342.430749453721,"('SBD', 'Solomon Islands dollar')",,nataliemcguire,diazsheena,Palestinian Territory,1983-02-06 08:33:29
2001-01-08 19:35:25,1991-07-13 09:54:19,2012-07-07 18:21:41,1994-02-21 09:37:28,html,GB59NQYC95731369657663,4976673543238097,Carla Wheeler,3520205859225831,Daniel Jennings,"261 Matthew Glen
Georgebury, NM 22494",GB86BIXJ93605659760255,Tokelau,,15.820915996499261,"('PGK', 'Papua New Guinean kina')",,martinezkyle,kmatthews,Jamaica,1993-11-06 08:51:51
2000-09-20 07:39:12,1989-08-05 13:09:17,1984-03-26 15:54:13,1996-06-12 19:07:12,txt,GB53NZOS55933942960092,4101871300887,Brandon Conway,2252879909050674,Joseph Walker,"2347 James Locks Apt. 158
Daltonview, DE 06446",GB98RNPP66807856109992,Chad,,1544.7045560683916,"('FJD', 'Fijian dollar')",,brownrandall,pphillips,Cocos (Keeling) Islands,1984-06-26 09:09:09
1999-01-18 02:15:01,2009-07-15 14:45:04,2015-06-30 23:47:48,1970-04-18 14:49:41,csv,GB28HKHF86363031028493,3561680761719164,Brian Cruz,676350685233,Kenneth Schmitt,"91582 Patrick Dam
Jeffreychester, WI 99488",GB90IWCI61893953348279,Estonia,,5140.9369396646925,"('XAF', 'Central African CFA franc')",,jessica07,wparks,Togo,1982-01-02 16:50:07
2017-08-19 21:48:40,2004-04-07 06:37:35,1988-11-18 15:44:18,2020-06-01 09:57:05,css,GB83KJCB99652645528424,6011605015913619,Martin Cruz,4826841905266137,Charles Hart,"94687 James Mountains
Stevenbury, OK 37856",GB52ZPJM63367021003714,Guyana,,9111.275953993465,"('SRD', 'Surinamese dollar')",,kristalivingston,newmanjose,India,1970-05-15 05:23:36
2006-09-16 06:49:59,1975-05-09 03:04:28,1975-08-11 23:49:37,1990-06-15 13:35:11,csv,GB18TSZG60746461013642,502074932836,Michelle Baker,6588736801729993,Tracy Freeman,"64284 Wright River Apt. 680
East Erin, TX 58971",GB47OCOH38357931875527,San Marino,,3521.430174629424,"('BDT', 'Bangladeshi taka')",,megankidd,gthomas,Angola,2002-01-21 20:24:00
2019-06-22 11:57:51,2015-01-10 15:05:01,1981-02-19 17:02:55,1991-06-29 14:52:48,csv,GB82DHET38012971144518,4331013420999216,Russell Jimenez,3515505373982651,Maureen Jacobs,"99373 York Trace Suite 943
New Andrea, FL 82470",GB16NHDN61858351164774,Honduras,,4352.613343886708,"('HUF', 'Hungarian forint')",,angelamunoz,richard82,Reunion,2012-06-11 09:07:32
1977-12-12 06:11:24,1988-05-29 21:29:38,1998-05-31 19:02:01,1973-07-07 11:26:15,wav,GB50RIEA56084738894833,4415794352828080,Jasmin Lyons,341134347060282,Amy Parker,"152 Davies Bypass
West Timothystad, MS 64644",GB38DMWS82824745542822,China,,8942.452733097123,"('AZN', 'Azerbaijani manat')",,sreeves,pallison,Marshall Islands,1991-10-29 04:44:04
2000-08-01 19:12:22,1982-09-28 07:53:43,2005-02-25 17:08:13,1985-09-09 10:15:29,pdf,GB67ATBV08627470184987,4791151166297255,Tracy Moran,370513486309358,Nicholas Horne,"076 Galvan Radial Suite 336
Georgemouth, SC 11583",GB18VNPH99204274626765,Belgium,,7190.887302255166,"('SGD', 'Singapore dollar')",,judithrodriguez,aanderson,Taiwan,1975-03-22 21:16:32
2012-04-01 06:38:24,1970-10-01 02:10:30,1986-06-25 23:33:35,1999-03-04 14:00:17,mp3,GB35BNCH81244987522102,4894355824478995778,Claudia Moore,36279606716718,Deanna Hammond,"5836 John Estates
Kimfort, CA 07422",GB15GBEH85818857145316,Sweden,,8196.983226151135,"('FJD', 'Fijian dollar')",,michaelwhite,brenda97,New Zealand,1999-01-01 04:00:28
1973-07-21 20:25:01,1970-12-30 11:36:17,1991-11-26 07:17:14,1988-01-15 13:53:27,flac,GB71BLEQ78195499333099,4317633273895,William Pearson,4555147190060539360,Jeffrey Jenkins,"216 Barnes Isle Apt. 876
New Theresabury, RI 46188",GB79YRGL35501130260230,France,,1160.3534357717504,"('ZAR', 'South African rand')",,smithsteven,kelligray,Qatar,2000-12-01 17:16:41
1993-08-02 20:26:52,2012-07-18 02:05:15,1977-01-01 15:59:50,2008-08-26 17:08:11,flac,GB36ZBCQ28522461937857,4836345408707348,Thomas Jackson,4620189395889069,Laurie Gallagher,"26639 Garcia Loaf
West Wesley, ND 42958",GB87IWHH80282331207572,Djibouti,,4931.1258677064525,"('TRY', 'Turkish lira')",,rebeccaboyle,melissafuentes,Sudan,2002-10-03 20:22:18
1981-12-08 14:20:54,1988-11-13 00:08:17,1992-08-03 22:44:07,1999-08-14 12:43:05,docx,GB19VGFO17626130733488,4365886207497142516,Gordon Newton,2507984899808678,Sheena Brown,"USNV Calderon
FPO AP 37950",GB79EVYN85707338124906,Nicaragua,,1944.0017651254072,"('MAD', 'Moroccan dirham')",,alittle,kevin94,Tokelau,2018-05-14 06:29:08
2002-10-09 22:44:53,2011-02-03 17:10:53,1970-10-24 00:07:43,2009-08-06 12:38:35,tiff,GB25DSKT64659328992147,3535320872172143,Shannon Patterson,4688448581987056,Katherine Perez,"PSC 1820, Box 8608
APO AA 41350",GB38UFFH93545785042544,Uganda,,243.58512315507681,"('SHP', 'Saint Helena pound')",,james26,markmiller,Palau,2011-09-14 20:06:44
1971-05-21 07:06:28,1978-10-20 08:25:37,2008-11-26 18:37:06,2010-08-24 21:13:44,json,GB77FOTH37990659512102,6011640594565811,Hannah Miller,6594564619240413,Omar Mccarthy,"59726 David Stream
North Loriland, RI 23262",GB67EASQ82045643905987,Saint Martin,,9051.324061229625,"('MAD', 'Moroccan dirham')",,deborahperez,pwilliams,Falkland Islands (Malvinas),2001-10-16 12:34:12
1970-12-15 21:49:26,1976-11-06 18:42:59,1989-06-12 17:11:58,2009-09-12 09:47:05,avi,GB80BQVY42782074144784,564898718478,Danny Bond,30376272171214,Andre Gould,"3100 Daniel Mountain Apt. 003
Lake Alexandriafort, FL 40516",GB68JXOV83475023439622,Eritrea,,2351.433533309138,"('TTD', 'Trinidad and Tobago dollar')",,wilsonmichael,jwalsh,Lebanon,2018-02-28 00:29:53
1998-04-16 13:37:30,1979-11-27 09:21:16,1982-07-08 18:51:46,2000-10-02 05:42:08,jpg,GB87CNGU14245980955796,342716715612626,Betty Cowan,213151264220413,Robert Patterson,"60291 Baldwin Rue
West Bonnie, ND 39321",GB02DDFX87733667331469,Cape Verde,,1921.4219781283716,"('BGN', 'Bulgarian lev')",,holly33,scottashley,South Africa,1986-05-28 09:18:39
1978-06-08 01:08:08,2015-09-23 10:41:55,2007-05-02 15:54:03,2009-11-12 21:56:10,mov,GB80NGGZ58020517745769,3593369187535857,Tiffany Hogan,4473561573069110,Tanner Gray,"20281 Valdez Lane
Vazquezborough, WV 24044",GB30GMPV00802886026277,Antigua and Barbuda,,4174.709808200775,"('TTD', 'Trinidad and Tobago dollar')",,malonejill,john49,Lao People's Democratic Republic,2020-07-27 03:22:04
2006-12-07 00:12:08,2009-07-02 06:06:26,2009-01-28 07:38:22,1974-04-14 03:58:36,wav,GB80SWWK80485720617893,3582486262266852,Shelley Jackson,6528618092031524,Harry Roberts,"039 Maddox Roads Apt. 616
Turnerfurt, AK 49659",GB47VZNL45907329854212,Palau,,10285.670646720768,"('COP', 'Colombian peso')",,randyhernandez,livingstonkaitlin,Marshall Islands,1974-04-03 17:11:49
